fecha_scraping,nombre_paquete,precio_clp,precio_original_clp,ahorro_clp,descuento_pct,dias_noches,rating,estrellas,hotel_y_vuelo,millas,oferta_imbatible
2026-03-11 00:53:26,Paquetes a Punta Cana,1122884,1273602,150718,11.8,8 DÍAS / 7 NOCHES,7.9,5,0,,1
2026-03-11 00:53:26,Paquetes a Playa del Carmen,899605,1029201,129596,12.6,7 DÍAS / 6 NOCHES,7.9,4,0,,1
2026-03-11 00:53:26,Paquetes a Aruba,1149523,,,,7 DÍAS / 6 NOCHES,8.3,3,0,,0
2026-03-11 00:53:26,Paquetes a Aruba,819961,926079,106118,11.5,5 DÍAS / 4 NOCHES,8.3,3,0,,0
2026-03-11 00:53:26,Paquetes a Rio de Janeiro,344990,,,,3 DÍAS / 2 NOCHES,8.4,3,0,,0
2026-03-11 00:53:26,Paquetes a Buenos Aires,219920,,,,3 DÍAS / 2 NOCHES,7.8,3,0,,1
2026-03-11 00:53:26,Paquetes a Lima,331539,,,,3 DÍAS / 2 NOCHES,8.7,4,0,,1
2026-03-11 00:53:26,Paquetes a Recife,499709,532537,32828,6.2,4 DÍAS / 3 NOCHES,7.8,3,0,,0
2026-03-11 00:53:26,Paquetes a Cancún,1173053,1400211,227158,16.2,8 DÍAS / 7 NOCHES,7.9,5,0,,1
2026-03-11 00:53:26,Paquetes a Cancún,1202862,1491947,289085,19.4,8 DÍAS / 7 NOCHES,6.9,5,0,,1
2026-03-11 00:53:26,Paquetes a Cancún,1049845,1144306,94461,8.3,7 DÍAS / 6 NOCHES,7.9,5,0,,1
2026-03-11 00:53:26,Paquetes a Cancún,1253206,1530058,276852,18.1,8 DÍAS / 7 NOCHES,6.2,5,0,,1
2026-03-11 00:53:26,Paquetes a Iquique,221371,,,,6 DÍAS / 5 NOCHES,8.2,4,0,,0
2026-03-11 00:53:26,Paquetes a Iquique,221371,,,,6 DÍAS / 5 NOCHES,8.2,4,0,,0
2026-03-11 00:53:26,Paquetes a Iquique,220457,,,,6 DÍAS / 5 NOCHES,8.2,4,0,,0
2026-03-11 00:53:26,Paquetes a Calama,267439,,,,7 DÍAS / 6 NOCHES,8.1,2,0,,0
2026-03-11 00:53:26,Paquetes a Neuquén,267104,,,,4 DÍAS / 3 NOCHES,8.0,2,0,,0
2026-03-11 00:53:26,Paquetes a Neuquén,304978,,,,4 DÍAS / 3 NOCHES,9.4,3,0,,0
2026-03-11 00:53:26,Paquetes a Neuquén,304978,,,,4 DÍAS / 3 NOCHES,8.6,3,0,,0
2026-03-11 00:53:26,Paquetes a Neuquén,334960,,,,4 DÍAS / 3 NOCHES,9.4,5,0,,0
2026-03-11 00:53:26,Paquetes a Isla de Pascua,432368,,,,5 DÍAS / 4 NOCHES,8.0,,0,,1
2026-03-11 00:53:26,Paquetes a Iquique,200034,,,,5 DÍAS / 4 NOCHES,8.2,4,0,,0
2026-03-11 00:53:26,Paquetes a Puerto Varas,232878,,,,5 DÍAS / 4 NOCHES,8.5,3,0,,1
2026-03-11 00:53:26,Paquetes a La Serena,158595,,,,4 DÍAS / 3 NOCHES,9.3,2,0,,0
2026-03-11 00:53:26,Sol Caribe San Andres,1504891,1721203,216312,12.6,11 DÍAS / 10 NOCHES,7.7,4,0,,0
2026-03-11 00:53:26,Secrets Baby Beach Aruba,2207992,2507022,299030,11.9,7 DÍAS / 6 NOCHES,9.5,5,0,,1
2026-03-11 00:53:26,Riu Cancun - Adults Only - All Inclusive,2057191,2357591,300400,12.7,12 DÍAS / 11 NOCHES,8.3,5,0,,0
2026-03-11 00:53:26,Costeira Palace Beach Resort All Inclusive,1049561,1229837,180276,14.7,8 DÍAS / 7 NOCHES,8.9,4,0,,0
2026-03-11 00:53:26,Paquetes a Punta Cana,1182591,1331255,148664,11.2,6 DÍAS / 5 NOCHES,7.9,5,0,,1
2026-03-11 00:53:26,Paquetes a Rio de Janeiro,392999,423928,30929,7.3,6 DÍAS / 5 NOCHES,8.4,3,0,,1
2026-03-11 00:53:26,Paquetes a Florianópolis,385000,,,,6 DÍAS / 5 NOCHES,7.7,2,0,,1
2026-03-11 00:53:26,Paquetes a Cartagena de Indias,716132,,,,6 DÍAS / 5 NOCHES,9.3,4,0,,1
2026-03-11 00:53:26,Paquetes a Londres,2927522,,,,14 DÍAS / 13 NOCHES,8.1,3,0,,0
2026-03-11 00:53:26,Paquetes a Roma,1966840,,,,6 DÍAS / 5 NOCHES,,,0,,0
2026-03-11 00:53:26,Paquetes a Madrid,1399066,,,,8 DÍAS / 7 NOCHES,8.8,3,0,,0
2026-03-11 00:53:26,Entradas para Walt Disney World Resort,128039,,,,,9.2,,0,,0
2026-03-11 00:53:26,Entradas para Universal Orlando Resort,496888,,,,,9.3,,0,,0
